文部科学省　学校コード一覧,,,,,,,,,,更新日：,2026/5/20
学校コード,学校種,都道府県番号,"設置
区分",本分校,学校名,学校所在地,郵便番号,"属性情報
設定年月日","属性情報
廃止年月日","旧学校
調査番号",移行後の学校コード
A122210000391,A1(幼稚園),22(静岡),2(公),1(本),御殿場市立原里幼稚園,静岡県御殿場市川島田１９１７－２,4120045,2020-12-22,,226611,
A122210000408,A1(幼稚園),22(静岡),2(公),1(本),御殿場市立玉穂幼稚園,静岡県御殿場市中畑４２６番地の１,4120006,2020-12-22,,226612,
A122210000417,A1(幼稚園),22(静岡),2(公),9(廃),御殿場市立原里西幼稚園,静岡県御殿場市板妻１０１番地の６,4120048,2020-12-22,2023-05-01,226613,
A122210000426,A1(幼稚園),22(静岡),2(公),1(本),御殿場市立富士岡幼稚園,静岡県御殿場市中清水１１９番地,4120037,2020-12-22,,226614,
A122210000435,A1(幼稚園),22(静岡),2(公),1(本),御殿場市立森之腰幼稚園,静岡県御殿場市川島田４５１番地の３,4120045,2020-12-22,,226615,
A122210000444,A1(幼稚園),22(静岡),2(公),1(本),御殿場市立竃幼稚園,静岡県御殿場市竃１５４番地の１,4120039,2020-12-22,,226616,
A122210000453,A1(幼稚園),22(静岡),2(公),9(廃),東伊豆町立稲取幼稚園,静岡県賀茂郡東伊豆町稲取１５６９－６,4130411,2020-12-22,2023-05-01,226630,A122210001979
A122210000462,A1(幼稚園),22(静岡),2(公),9(廃),東伊豆町立熱川幼稚園,静岡県賀茂郡東伊豆町奈良本７４５－１４５,4130302,2020-12-22,2023-05-01,226632,A122210001979
A122210000471,A1(幼稚園),22(静岡),2(公),1(本),河津町立さくら幼稚園,静岡県賀茂郡河津町笹原３２８－１,4130512,2020-12-22,,226641,
A122210000480,A1(幼稚園),22(静岡),2(公),9(廃),下田市立下田幼稚園,静岡県下田市１丁目１７－２,4150021,2020-12-22,2023-05-01,226650,
